,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,10.0,12.0,81.0,111.0,161.0,231.0,233.0,346.0,347.0,593.0,817.0,856.0,1241.0,1453.0,1558.0,2132.0,2204.0,3047.0,3178.0,12617.0
1,1.0,2.0,4.0,7.0,9.0,15.0,17.0,18.0,22.0,23.0,26.0,34.0,44.0,68.0,69.0,343.0,459.0,991.0,1343.0,1344.0
2,8.0,660.0,661.0,1711.0,1712.0,1730.0,3123.0,4474.0,4477.0,8547.0,8704.0,8705.0,8811.0,8816.0,8962.0,8963.0,14686.0,30061.0,30294.0,36327.0
3,34.0,46.0,78.0,99.0,100.0,110.0,111.0,112.0,153.0,163.0,174.0,175.0,180.0,192.0,284.0,291.0,359.0,1044.0,4908.0,20683.0
4,23.0,45.0,81.0,90.0,113.0,114.0,123.0,128.0,151.0,256.0,265.0,383.0,1143.0,1706.0,5122.0,5123.0,5761.0,5773.0,7977.0,13438.0
5,169.0,229.0,252.0,498.0,509.0,1108.0,1109.0,1272.0,1278.0,1699.0,2147.0,3736.0,3810.0,3891.0,5092.0,5093.0,5149.0,7325.0,7326.0,40963.0
6,210.0,250.0,341.0,696.0,789.0,865.0,1021.0,1130.0,1415.0,3241.0,3244.0,3309.0,4146.0,7360.0,7429.0,11809.0,20170.0,24400.0,37110.0,45364.0
7,7.0,10.0,16.0,36.0,39.0,77.0,80.0,81.0,83.0,101.0,139.0,171.0,173.0,198.0,280.0,311.0,329.0,337.0,364.0,382.0
8,51.0,56.0,336.0,344.0,411.0,1075.0,1179.0,1230.0,1648.0,1714.0,2348.0,3666.0,3925.0,4303.0,4304.0,4919.0,6029.0,6031.0,6621.0,31459.0
9,9.0,10.0,16.0,41.0,49.0,60.0,70.0,92.0,105.0,114.0,126.0,177.0,218.0,250.0,309.0,332.0,551.0,569.0,1010.0,7131.0
10,7.0,9.0,16.0,17.0,55.0,64.0,81.0,121.0,160.0,183.0,193.0,204.0,205.0,223.0,811.0,1034.0,1189.0,1260.0,1307.0,1361.0
11,5.0,31.0,32.0,34.0,53.0,61.0,73.0,76.0,98.0,101.0,106.0,112.0,126.0,170.0,187.0,193.0,200.0,580.0,832.0,1313.0
12,5.0,14.0,27.0,28.0,30.0,64.0,88.0,111.0,193.0,477.0,1074.0,1253.0,1351.0,1642.0,2234.0,2495.0,2648.0,5845.0,15213.0,17589.0
13,26.0,46.0,323.0,350.0,351.0,481.0,1794.0,2948.0,3086.0,4534.0,5590.0,5916.0,6675.0,6676.0,13756.0,14984.0,18216.0,21782.0,23791.0,24766.0
14,6.0,12.0,98.0,212.0,213.0,241.0,2303.0,2415.0,2741.0,2921.0,3377.0,3653.0,3695.0,5970.0,6950.0,9141.0,11456.0,22727.0,26647.0,26965.0
15,11.0,13.0,14.0,17.0,45.0,95.0,118.0,151.0,223.0,235.0,254.0,302.0,392.0,700.0,1054.0,2112.0,10520.0,12822.0,14001.0,14135.0
16,145.0,192.0,246.0,386.0,417.0,737.0,1190.0,1520.0,2179.0,2229.0,3230.0,4244.0,5802.0,5941.0,7963.0,8780.0,14381.0,22946.0,31643.0,52872.0
17,1.0,4.0,5.0,10.0,11.0,15.0,32.0,34.0,38.0,42.0,52.0,67.0,75.0,76.0,83.0,87.0,114.0,169.0,182.0,203.0
18,375.0,1124.0,1125.0,2114.0,2115.0,3299.0,5120.0,5400.0,5457.0,5676.0,7797.0,9088.0,9440.0,10117.0,10441.0,16826.0,19224.0,22734.0,22744.0,32946.0
19,3.0,27.0,53.0,208.0,355.0,526.0,587.0,999.0,1147.0,1812.0,2149.0,3265.0,3272.0,4238.0,4397.0,4771.0,6223.0,10101.0,11293.0,29252.0
20,183.0,367.0,450.0,500.0,960.0,2263.0,2782.0,4040.0,4092.0,6008.0,9237.0,9355.0,9586.0,10804.0,12210.0,13666.0,21118.0,24877.0,29895.0,33358.0
21,44.0,151.0,179.0,441.0,583.0,1733.0,1830.0,2392.0,3519.0,3614.0,3720.0,6173.0,6649.0,8672.0,9352.0,9358.0,10235.0,14001.0,15128.0,15129.0
22,184.0,566.0,2023.0,2024.0,3920.0,3921.0,4959.0,7368.0,8952.0,10009.0,11179.0,13153.0,23524.0,23525.0,32036.0,42912.0,43192.0,43193.0,46275.0,54738.0
23,87.0,266.0,477.0,478.0,854.0,855.0,861.0,945.0,1077.0,1107.0,1108.0,1109.0,2388.0,2389.0,5327.0,8722.0,12385.0,12408.0,24591.0,51053.0
24,60.0,64.0,80.0,100.0,123.0,144.0,178.0,210.0,247.0,267.0,369.0,666.0,769.0,770.0,1114.0,1334.0,5284.0,6574.0,8433.0,8434.0
25,35.0,46.0,50.0,91.0,133.0,234.0,263.0,272.0,471.0,563.0,853.0,978.0,1133.0,1829.0,1831.0,2173.0,2814.0,3732.0,4033.0,28292.0
26,3.0,6.0,69.0,106.0,144.0,163.0,265.0,350.0,376.0,508.0,569.0,751.0,916.0,2008.0,3245.0,6655.0,6656.0,6935.0,12032.0,58457.0
27,7.0,10.0,21.0,24.0,32.0,34.0,41.0,48.0,49.0,50.0,56.0,60.0,79.0,84.0,89.0,90.0,102.0,111.0,114.0,2963.0
28,64.0,87.0,91.0,313.0,368.0,441.0,445.0,446.0,508.0,633.0,924.0,1601.0,2702.0,3036.0,3050.0,4502.0,4974.0,5735.0,13549.0,22100.0
29,1.0,3.0,28.0,32.0,42.0,92.0,124.0,172.0,271.0,305.0,713.0,1461.0,1462.0,3790.0,4108.0,4497.0,5204.0,9760.0,31477.0,41697.0
30,47.0,80.0,329.0,331.0,390.0,485.0,519.0,552.0,577.0,689.0,937.0,1362.0,1542.0,1569.0,1715.0,2096.0,2309.0,6496.0,14398.0,14914.0
31,65.0,93.0,100.0,101.0,293.0,482.0,537.0,655.0,656.0,670.0,857.0,912.0,959.0,1869.0,1955.0,3421.0,3476.0,3736.0,4270.0,21114.0
32,9.0,63.0,64.0,80.0,96.0,101.0,146.0,211.0,222.0,388.0,637.0,653.0,671.0,672.0,1476.0,1596.0,1943.0,2211.0,3253.0,3286.0
33,1.0,7.0,8.0,10.0,11.0,15.0,33.0,36.0,70.0,161.0,162.0,313.0,488.0,549.0,753.0,1079.0,1554.0,1820.0,1821.0,2299.0
34,44.0,111.0,202.0,304.0,339.0,500.0,550.0,635.0,688.0,740.0,741.0,752.0,753.0,796.0,1341.0,1790.0,2620.0,11320.0,14973.0,40759.0
35,1.0,7.0,30.0,50.0,55.0,61.0,83.0,101.0,128.0,134.0,147.0,166.0,197.0,225.0,307.0,308.0,495.0,513.0,514.0,21836.0
36,27.0,137.0,138.0,145.0,185.0,249.0,574.0,578.0,2298.0,3969.0,5057.0,5061.0,5842.0,6929.0,6930.0,7237.0,7341.0,8211.0,8773.0,10905.0
37,24.0,74.0,144.0,174.0,250.0,305.0,582.0,593.0,870.0,2049.0,4923.0,5567.0,12382.0,16542.0,18188.0,23481.0,31879.0,38039.0,44127.0,44128.0
38,4.0,18.0,19.0,42.0,49.0,58.0,89.0,116.0,198.0,220.0,246.0,252.0,320.0,331.0,347.0,398.0,472.0,621.0,1211.0,4008.0
39,24.0,26.0,37.0,38.0,40.0,48.0,53.0,76.0,103.0,105.0,158.0,225.0,2332.0,2628.0,4519.0,5216.0,9789.0,9857.0,19201.0,24004.0
40,5.0,95.0,118.0,129.0,148.0,152.0,185.0,186.0,229.0,236.0,465.0,496.0,497.0,498.0,510.0,590.0,780.0,960.0,1036.0,1178.0
41,62.0,77.0,114.0,121.0,122.0,179.0,253.0,409.0,536.0,537.0,757.0,953.0,967.0,1507.0,1689.0,1724.0,2667.0,25140.0,50513.0,55348.0
42,4.0,13.0,21.0,53.0,114.0,149.0,154.0,155.0,214.0,249.0,258.0,292.0,392.0,432.0,487.0,548.0,568.0,624.0,2335.0,25506.0
43,14.0,20.0,33.0,52.0,55.0,74.0,107.0,161.0,172.0,180.0,181.0,186.0,203.0,271.0,464.0,641.0,968.0,2533.0,5800.0,27966.0
44,5.0,6.0,15.0,57.0,58.0,66.0,72.0,82.0,125.0,130.0,142.0,198.0,254.0,408.0,409.0,506.0,536.0,709.0,1252.0,1253.0
45,12.0,24.0,58.0,62.0,68.0,69.0,78.0,79.0,82.0,122.0,208.0,221.0,313.0,378.0,471.0,821.0,840.0,1353.0,3900.0,10174.0
46,22.0,80.0,109.0,248.0,457.0,608.0,609.0,611.0,859.0,1904.0,1951.0,2670.0,3219.0,3626.0,5038.0,9449.0,13318.0,14555.0,36039.0,38730.0
47,49.0,84.0,109.0,114.0,160.0,217.0,258.0,400.0,414.0,464.0,602.0,640.0,689.0,810.0,946.0,1000.0,1152.0,1188.0,1617.0,3128.0
48,18.0,32.0,35.0,81.0,96.0,116.0,148.0,163.0,216.0,227.0,288.0,296.0,297.0,311.0,339.0,365.0,431.0,434.0,623.0,1232.0
49,1.0,3.0,14.0,18.0,20.0,26.0,37.0,50.0,61.0,218.0,479.0,589.0,640.0,1769.0,1831.0,2064.0,2218.0,3414.0,3534.0,8664.0
50,3.0,4.0,10.0,11.0,33.0,45.0,54.0,56.0,70.0,88.0,90.0,159.0,298.0,586.0,615.0,670.0,941.0,1177.0,4765.0,29941.0
51,27.0,162.0,163.0,317.0,661.0,872.0,873.0,882.0,883.0,1044.0,1790.0,2501.0,2502.0,3474.0,3483.0,3721.0,3722.0,4935.0,9168.0,12504.0
52,1.0,32.0,93.0,147.0,197.0,289.0,355.0,554.0,680.0,737.0,795.0,1122.0,1298.0,1620.0,2300.0,5353.0,5465.0,9499.0,18050.0,24110.0
53,380.0,490.0,1090.0,1309.0,1744.0,1790.0,1858.0,1859.0,2259.0,2690.0,2691.0,2903.0,4038.0,5558.0,8326.0,9310.0,11168.0,23519.0,31420.0,35347.0
54,295.0,296.0,332.0,333.0,372.0,438.0,955.0,1807.0,2089.0,3929.0,4534.0,5484.0,6049.0,6531.0,7618.0,10399.0,20848.0,28458.0,28459.0,32845.0
55,4.0,5.0,6.0,11.0,15.0,18.0,20.0,25.0,26.0,29.0,33.0,34.0,37.0,38.0,55.0,61.0,146.0,160.0,411.0,4011.0
56,19.0,32.0,65.0,68.0,69.0,78.0,86.0,121.0,126.0,168.0,178.0,185.0,197.0,224.0,253.0,271.0,272.0,321.0,376.0,386.0
57,353.0,3143.0,5263.0,6454.0,7162.0,8879.0,9016.0,9159.0,9327.0,10288.0,10315.0,11913.0,13186.0,13197.0,14332.0,19538.0,19791.0,20800.0,33102.0,33222.0
58,62.0,63.0,114.0,202.0,310.0,1055.0,1177.0,1313.0,2316.0,2317.0,2558.0,2559.0,3468.0,3979.0,5162.0,9202.0,9203.0,11408.0,14208.0,42348.0
59,4.0,10.0,11.0,14.0,16.0,21.0,25.0,181.0,253.0,265.0,271.0,273.0,277.0,389.0,601.0,642.0,683.0,707.0,901.0,1853.0
60,50.0,53.0,88.0,179.0,247.0,291.0,292.0,297.0,426.0,700.0,845.0,1013.0,1263.0,1304.0,1342.0,1349.0,1479.0,1570.0,2889.0,3028.0
61,94.0,95.0,96.0,192.0,246.0,279.0,309.0,337.0,394.0,449.0,450.0,453.0,531.0,751.0,986.0,1171.0,1468.0,1926.0,2197.0,13716.0
62,1.0,4.0,14.0,21.0,26.0,141.0,148.0,410.0,620.0,738.0,739.0,846.0,1039.0,1542.0,1640.0,2180.0,2222.0,2530.0,2531.0,5666.0
63,1.0,4.0,13.0,19.0,21.0,25.0,46.0,249.0,357.0,436.0,537.0,538.0,1331.0,1332.0,1390.0,1592.0,5217.0,10418.0,15567.0,24590.0
64,206.0,221.0,229.0,311.0,346.0,364.0,365.0,572.0,596.0,604.0,647.0,672.0,783.0,849.0,898.0,941.0,1671.0,1744.0,1759.0,2619.0
65,1.0,2.0,8.0,19.0,21.0,36.0,122.0,230.0,403.0,465.0,650.0,651.0,1033.0,1812.0,2255.0,4680.0,8868.0,10220.0,13573.0,14505.0
66,49.0,50.0,131.0,361.0,602.0,726.0,931.0,1427.0,2404.0,3341.0,3511.0,3591.0,4235.0,4861.0,6515.0,6525.0,13102.0,15252.0,33442.0,35178.0
67,20.0,27.0,57.0,66.0,107.0,108.0,124.0,171.0,398.0,477.0,594.0,730.0,935.0,963.0,1225.0,1933.0,1996.0,2001.0,2463.0,2633.0
68,382.0,930.0,1031.0,1780.0,1855.0,2509.0,2841.0,3664.0,3665.0,5297.0,5393.0,6139.0,6373.0,6734.0,6735.0,11819.0,13375.0,14555.0,21234.0,31520.0
69,2.0,9.0,35.0,36.0,83.0,112.0,162.0,171.0,177.0,195.0,220.0,385.0,794.0,1147.0,1853.0,2200.0,3592.0,6475.0,7340.0,29430.0
70,145.0,175.0,194.0,195.0,253.0,275.0,403.0,469.0,497.0,549.0,767.0,768.0,847.0,1143.0,1392.0,1393.0,1751.0,2306.0,2377.0,37839.0
71,2.0,15.0,61.0,111.0,233.0,280.0,423.0,580.0,655.0,1333.0,1528.0,2243.0,3676.0,3912.0,3913.0,8922.0,12489.0,14013.0,15764.0,56467.0
72,1.0,6.0,8.0,9.0,10.0,15.0,16.0,19.0,27.0,35.0,69.0,70.0,80.0,82.0,83.0,132.0,280.0,376.0,624.0,1216.0
73,93.0,94.0,144.0,243.0,283.0,289.0,327.0,717.0,794.0,805.0,959.0,996.0,1198.0,1426.0,1462.0,1532.0,1563.0,2960.0,3702.0,6163.0
74,62.0,78.0,87.0,176.0,177.0,232.0,272.0,429.0,481.0,670.0,701.0,859.0,860.0,912.0,1013.0,1159.0,1460.0,1500.0,1885.0,3671.0
75,623.0,1397.0,1855.0,3158.0,4126.0,4735.0,5142.0,11600.0,15081.0,19486.0,20692.0,20693.0,27180.0,28228.0,29666.0,31264.0,32814.0,33916.0,41527.0,57288.0
76,8.0,14.0,21.0,48.0,112.0,284.0,399.0,422.0,436.0,451.0,736.0,881.0,882.0,1052.0,1053.0,1426.0,6818.0,12008.0,13997.0,40519.0
77,7.0,23.0,24.0,111.0,129.0,145.0,189.0,237.0,307.0,566.0,1145.0,1611.0,2246.0,2247.0,3735.0,4834.0,6832.0,8170.0,53294.0,57623.0
78,5.0,79.0,115.0,145.0,150.0,460.0,662.0,1098.0,1536.0,1997.0,1998.0,2041.0,4552.0,4553.0,6678.0,8034.0,8509.0,14365.0,22612.0,29926.0
79,1.0,27.0,28.0,42.0,46.0,49.0,94.0,101.0,114.0,130.0,158.0,252.0,258.0,259.0,350.0,978.0,1077.0,1564.0,4377.0,8978.0
80,45.0,51.0,52.0,494.0,530.0,558.0,559.0,967.0,1422.0,1517.0,1765.0,1920.0,2198.0,2200.0,3128.0,3655.0,5260.0,6734.0,7992.0,11299.0
81,87.0,114.0,183.0,234.0,239.0,744.0,994.0,1143.0,1451.0,1487.0,1488.0,1790.0,2450.0,2451.0,2707.0,2968.0,3637.0,3685.0,4419.0,31869.0
82,4.0,11.0,16.0,42.0,53.0,71.0,122.0,123.0,144.0,145.0,150.0,189.0,191.0,197.0,212.0,249.0,283.0,362.0,467.0,28745.0
83,3.0,22.0,76.0,121.0,143.0,150.0,166.0,170.0,175.0,177.0,189.0,190.0,202.0,203.0,215.0,230.0,244.0,245.0,275.0,313.0
84,1.0,3.0,4.0,14.0,23.0,24.0,25.0,40.0,44.0,51.0,53.0,54.0,57.0,58.0,86.0,97.0,102.0,151.0,242.0,757.0
85,7.0,32.0,33.0,34.0,35.0,54.0,55.0,87.0,157.0,205.0,211.0,336.0,908.0,1149.0,1292.0,1374.0,1661.0,2465.0,4145.0,7396.0
86,7.0,21.0,22.0,26.0,29.0,30.0,33.0,43.0,44.0,54.0,58.0,82.0,112.0,168.0,177.0,266.0,278.0,279.0,393.0,477.0
87,686.0,1521.0,1880.0,2446.0,2489.0,2642.0,2725.0,3301.0,4524.0,4673.0,4911.0,6027.0,6392.0,6403.0,6649.0,7813.0,10365.0,10366.0,10968.0,17541.0
88,7.0,8.0,10.0,16.0,24.0,27.0,57.0,59.0,62.0,64.0,73.0,126.0,212.0,350.0,357.0,555.0,724.0,2408.0,2409.0,4609.0
89,3.0,4.0,5.0,8.0,24.0,29.0,30.0,343.0,621.0,1290.0,1469.0,1645.0,2429.0,4305.0,5890.0,6194.0,6195.0,7866.0,10746.0,31412.0
90,15.0,19.0,23.0,29.0,77.0,174.0,195.0,262.0,301.0,382.0,403.0,470.0,472.0,717.0,743.0,892.0,898.0,1007.0,1068.0,1071.0
91,6.0,26.0,50.0,61.0,64.0,67.0,73.0,91.0,97.0,107.0,133.0,143.0,182.0,218.0,235.0,298.0,620.0,2041.0,6629.0,8752.0
92,10.0,20.0,33.0,40.0,55.0,56.0,88.0,93.0,95.0,99.0,102.0,143.0,171.0,185.0,199.0,261.0,262.0,279.0,459.0,1439.0
93,137.0,155.0,523.0,641.0,858.0,859.0,1331.0,1607.0,1772.0,2785.0,3031.0,3260.0,3673.0,4160.0,4809.0,5366.0,7272.0,8507.0,19497.0,27685.0
94,2.0,28.0,43.0,67.0,68.0,99.0,108.0,119.0,120.0,131.0,136.0,150.0,171.0,191.0,199.0,212.0,216.0,217.0,344.0,3558.0
95,16.0,127.0,131.0,487.0,572.0,573.0,704.0,720.0,750.0,831.0,1080.0,1158.0,1266.0,2878.0,3226.0,3496.0,4276.0,5280.0,8383.0,39543.0
96,7.0,10.0,96.0,157.0,276.0,528.0,538.0,1034.0,2540.0,2823.0,2824.0,3162.0,3163.0,3392.0,4270.0,4271.0,6966.0,12130.0,28080.0,28081.0
97,1.0,9.0,20.0,49.0,82.0,277.0,314.0,351.0,361.0,405.0,653.0,904.0,1603.0,2176.0,4020.0,6098.0,6997.0,9255.0,20181.0,23269.0
98,1.0,3.0,4.0,9.0,22.0,26.0,27.0,31.0,43.0,57.0,73.0,84.0,102.0,103.0,111.0,132.0,141.0,342.0,1100.0,2069.0
99,23.0,54.0,81.0,82.0,132.0,363.0,482.0,744.0,844.0,896.0,1054.0,1590.0,1611.0,1710.0,1711.0,2772.0,2826.0,4199.0,6027.0,8160.0
100,9.0,62.0,162.0,367.0,390.0,510.0,561.0,864.0,901.0,1063.0,1460.0,2372.0,2748.0,2781.0,3556.0,4710.0,4806.0,6478.0,21093.0,21094.0
101,182.0,545.0,1749.0,2801.0,2802.0,4381.0,4523.0,5367.0,7642.0,8810.0,9254.0,13772.0,23512.0,23513.0,30174.0,30517.0,33434.0,33681.0,34490.0,42046.0
102,1.0,2.0,5.0,7.0,8.0,9.0,10.0,11.0,13.0,16.0,17.0,22.0,23.0,24.0,27.0,28.0,34.0,111.0,117.0,149.0
103,10.0,11.0,33.0,67.0,520.0,694.0,1147.0,1553.0,1587.0,1884.0,2804.0,2833.0,4211.0,8280.0,8370.0,8371.0,9198.0,14738.0,14739.0,14740.0
104,27.0,33.0,39.0,86.0,102.0,117.0,121.0,128.0,129.0,135.0,161.0,162.0,176.0,180.0,181.0,182.0,201.0,268.0,288.0,319.0
